Family	Subclass	Ambler_class	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
blaOXA-23_fam	CARBAPENEM	bla-D	14	15	16	17	20	25	25	26	27	40	41	45	47	52	55	55
blaGRD23	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaOXA-24_fam	CARBAPENEM	bla-D	6	6	7	7	7	8	8	8	9	9	10	11	12	12	15	15
blaGRD33	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaOXA-46_fam	BETA-LACTAM	bla-D	3	4	4	4	4	4	4	4	5	6	6	6	6	6	6	6
blaOXA-48_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	1	1	1	1	2	7	15	16
blaOXA-48_fam	CARBAPENEM	bla-D	4	5	7	10	12	17	24	25	25	27	27	27	27	27	27	27
blaOXA-48_fam	CEPHALOSPORIN	bla-D	0	0	0	1	2	2	2	5	5	7	15	18	23	25	25	25
blaOXA-50_fam	BETA-LACTAM	bla-D	4	4	4	6	7	7	7	7	7	13	24	44	58	60	100	113
blaOXA-51_fam	CARBAPENEM	bla-D	66	80	87	100	141	156	172	185	273	322	326	339	375	380	386	394
blaOXA-55_fam	BETA-LACTAM	bla-D	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7
blaOXA-55_fam	CARBAPENEM	bla-D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-58_fam	CARBAPENEM	bla-D	4	4	4	4	6	6	7	7	7	7	7	7	8	8	8	9
blaOXA-60_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
blaOXA-60_fam	CARBAPENEM	bla-D	1	1	1	1	1	2	2	2	5	5	6	6	6	6	6	6
blaOXA-61_fam	BETA-LACTAM	bla-D	2	2	3	3	3	9	9	9	49	49	49	49	49	49	49	49
blaOXA-62_fam	CARBAPENEM	bla-D	1	1	1	1	2	10	10	10	10	10	10	10	12	12	15	15
blaOXA-63_fam	BETA-LACTAM	bla-D	4	5	5	5	5	14	14	14	14	14	14	14	23	23	23	23
blaSPN79	CARBAPENEM	bla-B	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
blaOXA-85_fam	BETA-LACTAM	bla-D	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
blaOXA-114_fam	BETA-LACTAM	bla-D	7	7	14	21	21	21	23	23	23	26	26	26	26	26	26	26
blaOXA-134_fam	CARBAPENEM	bla-D	1	1	5	16	16	17	18	18	21	21	22	24	28	28	28	28
blaOXA-143_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	0	0	1	3	3	4	5
blaOXA-143_fam	CARBAPENEM	bla-D	2	2	3	5	5	6	6	6	7	8	8	8	8	8	8	8
blaOXA-184_fam	BETA-LACTAM	bla-D	0	0	2	2	2	8	8	8	39	39	39	39	39	39	39	39
blaOXA-211_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	1	1	5	5	5	6	6	7	7	7
blaOXA-211_fam	CARBAPENEM	bla-D	0	2	2	7	8	9	10	10	11	11	11	11	11	11	11	11
blaOXA-213_fam	CARBAPENEM	bla-D	0	1	2	32	34	38	42	47	51	67	67	86	97	99	116	123
blaOXA-214_fam	BETA-LACTAM	bla-D	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2
